SAMPLE,TAXON_NAME,TAXON_GROUP,GENUS,SPECIES,COUNTS,SAMPVOL_L
453-29,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,4,1
453-29,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,1,1
443-1,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,0,1
443-21,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,0,1
443-21,Tripos muelleri,Dinoflagellate,Tripos (Tripoceratium),muelleri,0,1
443-21,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,0,1
443-81,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,0,1
443-81,Tripos concilians,Dinoflagellate,Tripos (Tripoceratium),concilians,0,1
443-81,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,0,1
446-1,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,1,1
446-1,Guinardia striata,Centric diatom,Guinardia,striata,1,1
446-5,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,1,1
446-5,Guinardia spp.,Centric diatom,Guinardia,spp.,2,1
446-5,Guinardia striata,Centric diatom,Guinardia,striata,1,1
446-5,Leptocylindrus spp.,Centric diatom,Leptocylindrus,spp.,1,1
446-5,Nematocysts,Other,(null),(null),1,1
446-5,Tripos biceps,Dinoflagellate,Tripos (Amphiceratium),biceps,1,1
446-5,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,3,1
446-5,Tripos macroceros type,Dinoflagellate,Tripos (Tripoceratium),macroceros type,1,1
446-9,Guinardia striata,Centric diatom,Guinardia,striata,1,1
446-9,Leptocylindrus spp.,Centric diatom,Leptocylindrus,spp.,1,1
446-9,Nitzschia spp.,Pennate diatom,Nitzschia,spp.,1,1
446-9,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,1,1
446-13,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,1,1
446-13,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,2,1
446-13,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,1,1
446-17,Coccolithophore cf.,Coccolithophore,(null),(null),1,1
446-17,Nematocysts,Other,(null),(null),1,1
446-21,Cerataulina spp.,Centric diatom,Cerataulina,spp.,1,1
446-21,Leptocylindrus spp.,Centric diatom,Leptocylindrus,spp.,1,1
446-21,Navicula cf. 20-40 µm length,Pennate diatom,(null),(null),1,1
446-21,Navicula cf. 40-60 µm length,Pennate diatom,(null),(null),1,1
446-21,Navicula cf. <20 µm length,Pennate diatom,(null),(null),1,1
446-21,Nitzschia spp.,Pennate diatom,Nitzschia,spp.,1,1
446-25,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,1,1
446-25,Navicula cf. 60-80 µm length,Pennate diatom,(null),(null),1,1
446-25,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,1,1
446-45,Guinardia striata,Centric diatom,Guinardia,striata,1,1
446-45,Nitzschia spp.,Pennate diatom,Nitzschia,spp.,1,1
446-45,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,12,1
446-21,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,1,1
446-45,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,2,1
446-41,Coccolithophore cf.,Coccolithophore,(null),(null),1,1
446-41,Navicula cf. 20-40 µm length,Pennate diatom,(null),(null),1,1
446-41,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,18,1
446-41,Tripos hexacanthus,Dinoflagellate,Tripos (Tripoceratium),hexacanthus,1,1
446-41,Tripos spp.,Dinoflagellate,Tripos,spp.,1,1
446-45,Tripos spp.,Dinoflagellate,Tripos,spp.,1,1
446-49,Coccolithophore cf.,Coccolithophore,(null),(null),1,1
446-49,Nematocysts,Other,(null),(null),1,1
446-49,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,13,1
446-53,Coccolithophore cf.,Coccolithophore,(null),(null),1,1
446-53,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,16,1
446-53,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,1,1
446-57,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,1,1
446-57,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,16,1
446-57,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,3,1
446-57,Tripos lineatus,Dinoflagellate,Tripos (Ceratium),lineatus,1,1
446-57,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,1,1
443-57,Rhabdonella spp.,Ciliate,Rhabdonella,spp.,0,1
443-57,Tripos macroceros,Dinoflagellate,Tripos (Tripoceratium),macroceros,0,1
443-57,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,0,1
443-69,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,0,1
443-73,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,0,1
443-73,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,0,1
446-9,Tripos spp.,Dinoflagellate,Tripos,spp.,0,1
446-41,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,0,1
446-41,Tripos contortus,Dinoflagellate,Tripos (Tripoceratium),contortus,0,1
446-41,Tripos lunula,Dinoflagellate,Tripos (Tripoceratium),lunula,0,1
446-41,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,0,1
446-41,Tripos muelleri,Dinoflagellate,Tripos (Tripoceratium),muelleri,0,1
446-41,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,0,1
446-53,Ceratocorys horrida,Dinoflagellate,Ceratocorys,horrida,0,1
446-53,Tripos candelabrum,Dinoflagellate,Tripos (Ceratium),candelabrum,0,1
446-53,Tripos hexacanthus,Dinoflagellate,Tripos (Tripoceratium),hexacanthus,0,1
446-53,Tripos lunula,Dinoflagellate,Tripos (Tripoceratium),lunula,0,1
446-53,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,0,1
446-53,Tripos muelleri,Dinoflagellate,Tripos (Tripoceratium),muelleri,0,1
446-53,Tripos hundhausenii,Dinoflagellate,Tripos (Tripoceratium),hundhausenii,0,1
446-53,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,0,1
446-53,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,0,1
446-57,Tripos biceps,Dinoflagellate,Tripos (Amphiceratium),biceps,0,1
446-57,Tripos hexacanthus,Dinoflagellate,Tripos (Tripoceratium),hexacanthus,0,1
446-57,Tripos incisus,Dinoflagellate,Tripos (Ceratium),incisus,0,1
446-57,Tripos lunula,Dinoflagellate,Tripos (Tripoceratium),lunula,0,1
446-57,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,0,1
446-57,Tripos muelleri,Dinoflagellate,Tripos (Tripoceratium),muelleri,0,1
446-57,Tripos hundhausenii,Dinoflagellate,Tripos (Tripoceratium),hundhausenii,0,1
446-57,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,0,1
448-5,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,1,1
448-5,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,1,1
448-5,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,1,1
448-9,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,1,1
448-13,Proboscia spp.,Centric diatom,Proboscia,spp.,1,1
448-13,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,3,1
448-17,Nematocysts,Other,(null),(null),2,1
448-17,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,1,1
448-21,Acantharia,Radiozoa,(null),(null),1,1
448-21,Nematocysts,Other,(null),(null),1,1
448-21,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,3,1
448-25,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,1,1
448-45,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,1,1
448-45,Octactis octonaria,Silicoflagellate,Octactis,octonaria,1,1
448-45,Proboscia spp.,Centric diatom,Proboscia,spp.,2,1
448-45,Prorocentrum spp.,Dinoflagellate,Prorocentrum,spp.,2,1
448-45,Protoperidinium spp.,Dinoflagellate,Protoperidinium,spp.,1,1
448-45,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,1,1
448-45,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,4,1
448-45,Thalassionema nitzschioides,Pennate diatom,Thalassionema,nitzschioides,1,1
448-45,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,2,1
448-45,Thalassiosira spp. 20-40 µm,Centric diatom,Thalassiosira,spp.,1,1
448-45,Thalassiothrix cf. spp.,Pennate diatom,Thalassiothrix,cf. spp.,3,1
448-45,Tintinnina ,Ciliate,(null),(null),1,1
448-45,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,9,1
448-45,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,3,1
448-45,Tripos lineatus,Dinoflagellate,Tripos (Ceratium),lineatus,1,1
448-45,Tripos macroceros type,Dinoflagellate,Tripos (Tripoceratium),macroceros type,1,1
448-45,Unid dinoflagellate 10 - 30 µm,Dinoflagellate,(null),(null),3,1
448-65,Acantharia,Radiozoa,(null),(null),2,1
448-65,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,2,1
448-65,Dictyocha fibula,Silicoflagellate,Dictyocha,fibula,1,1
448-65,Eutintinnus spp.,Ciliate,Eutintinnus,spp.,2,1
448-65,Octactis octonaria,Silicoflagellate,Octactis,octonaria,2,1
448-65,Proboscia spp.,Centric diatom,Proboscia,spp.,1,1
448-65,Protoperidinium spp.,Dinoflagellate,Protoperidinium,spp.,1,1
448-65,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,1,1
448-65,Rhizosolenia setigera group,Centric diatom,Rhizosolenia,cf. setigera,2,1
448-65,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,1,1
448-65,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,1,1
448-65,Tripos furca,Dinoflagellate,Tripos (Ceratium),furca,4,1
448-65,Tripos fusus,Dinoflagellate,Tripos (Amphiceratium),fusus,4,1
448-65,Tripos lineatus,Dinoflagellate,Tripos (Ceratium),lineatus,6,1
448-65,Tripos macroceros type,Dinoflagellate,Tripos (Tripoceratium),macroceros type,1,1
448-65,Tripos spp.,Dinoflagellate,Tripos,spp.,1,1
448-65,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,2,1
424-13,Centric diatom 10-20 µm,Centric diatom,(null),(null),2,1
424-33,Centric diatom 30-40 µm,Centric diatom,(null),(null),1,1
424-33,Corethron spp.,Centric diatom,Corethron,spp.,1,1
424-13,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,2,1
424-13,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,3,1
424-9,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,12,1
448-33,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,0,1
448-33,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,0,1
424-9,Centric diatom 10-20 µm,Centric diatom,(null),(null),7,1
424-9,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,6,1
424-9,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,1,1
424-9,Corethron spp.,Centric diatom,Corethron,spp.,2,1
424-9,Guinardia cylindrus,Centric diatom,Guinardia,cylindrus,1,1
424-9,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,2,1
424-9,Proboscia spp.,Centric diatom,Proboscia,spp.,2,1
424-9,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,2,1
424-9,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,1,1
424-9,Thalassiosira spp. 20-40 µm,Centric diatom,Thalassiosira,spp.,7,1
450-17,Amphisolenia bidentata,Dinoflagellate,Amphisolenia,bidentata,0,1
450-17,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,0,1
450-17,Protoperidinium spp.,Dinoflagellate,Protoperidinium,spp.,0,1
450-17,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,0,1
450-17,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,0,1
451-53,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,1,1
450-37,Tripos hexacanthus,Dinoflagellate,Tripos (Tripoceratium),hexacanthus,0,1
450-37,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,0,1
450-37,Tripos muelleri,Dinoflagellate,Tripos (Tripoceratium),muelleri,0,1
450-37,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,0,1
450-41,Amphisolenia bidentata,Dinoflagellate,Amphisolenia,bidentata,0,1
450-41,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,0,1
450-41,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,0,1
450-41,Proboscia spp.,Centric diatom,Proboscia,spp.,0,1
450-41,Pyrophacus spp.,Dinoflagellate,Pyrophacus,spp.,0,1
450-41,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,0,1
450-41,Tripos muelleri,Dinoflagellate,Tripos (Tripoceratium),muelleri,0,1
450-41,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,0,1
450-53,Amphisolenia bidentata,Dinoflagellate,Amphisolenia,bidentata,0,1
450-53,Ceratocorys horrida,Dinoflagellate,Ceratocorys,horrida,0,1
450-53,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,0,1
450-53,Pyrophacus spp.,Dinoflagellate,Pyrophacus,spp.,0,1
450-53,Tripos candelabrum,Dinoflagellate,Tripos (Ceratium),candelabrum,0,1
450-53,Tripos contortus,Dinoflagellate,Tripos (Tripoceratium),contortus,0,1
450-53,Tripos macroceros,Dinoflagellate,Tripos (Tripoceratium),macroceros,0,1
450-53,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,0,1
450-53,Tripos muelleri,Dinoflagellate,Tripos (Tripoceratium),muelleri,0,1
449-57,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,0,1
449-57,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,0,1
449-57,Tripos muelleri type,Dinoflagellate,Tripos (Tripoceratium),muelleri type,0,1
450-45,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,0,1
450-45,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,0,1
450-45,Tripos muelleri,Dinoflagellate,Tripos (Tripoceratium),muelleri,0,1
450-45,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,0,1
450-45,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,0,1
450-45,Coscinodiscus spp. 150-200 µm,Centric diatom,Coscinodiscus,spp.,0,1
450-45,Protoperidinium spp.,Dinoflagellate,Protoperidinium,spp.,0,1
450-49,Tripos candelabrum,Dinoflagellate,Tripos (Ceratium),candelabrum,0,1
450-49,Tripos hexacanthus,Dinoflagellate,Tripos (Tripoceratium),hexacanthus,0,1
450-49,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,0,1
450-49,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,0,1
450-49,Coscinodiscus spp. 150-200 µm,Centric diatom,Coscinodiscus,spp.,0,1
450-49,Pyrophacus spp.,Dinoflagellate,Pyrophacus,spp.,0,1
450-49,Tripos muelleri,Dinoflagellate,Tripos (Tripoceratium),muelleri,0,1
451-13,Amphisolenia bidentata,Dinoflagellate,Amphisolenia,bidentata,0,1
451-13,Protoperidinium spp.,Dinoflagellate,Protoperidinium,spp.,0,1
451-13,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,0,1
451-13,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,0,1
455-1,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,3,1
455-1,Centric diatom 10-20 µm,Centric diatom,(null),(null),1,1
455-1,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,4,1
455-1,Corethron spp.,Centric diatom,Corethron,spp.,1,1
455-1,Leptocylindrus mediterraneus,Centric diatom,Leptocylindrus,mediterraneus,2,1
455-1,Proboscia spp.,Centric diatom,Proboscia,spp.,4,1
455-1,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,2,1
455-5,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,5,1
455-5,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,2,1
455-5,Corethron spp.,Centric diatom,Corethron,spp.,2,1
455-5,Proboscia spp.,Centric diatom,Proboscia,spp.,3,1
455-5,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,2,1
455-5,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,3,1
455-5,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,2,1
455-1,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,1,1
455-5,Tripos fusus type,Dinoflagellate,Tripos (Amphiceratium),fusus type,1,1
455-9,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,2,1
455-9,Centric diatom 10-20 µm,Centric diatom,(null),(null),1,1
455-9,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,3,1
455-9,Corethron spp.,Centric diatom,Corethron,spp.,5,1
455-9,Proboscia spp.,Centric diatom,Proboscia,spp.,1,1
455-9,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,4,1
455-9,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,1,1
455-9,Thalassiosira spp. 20-40 µm,Centric diatom,Thalassiosira,spp.,7,1
442-33,Tripos muelleri type,Dinoflagellate,Tripos (Tripoceratium),muelleri type,0,1
442-33,Protoperidinium spp.,Dinoflagellate,Protoperidinium,spp.,0,1
442-33,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,0,1
442-37,Tripos muelleri type,Dinoflagellate,Tripos (Tripoceratium),muelleri type,0,1
453-25,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,1,1
453-25,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,1,1
453-25,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,2,1
453-25,Proboscia spp.,Centric diatom,Proboscia,spp.,5,1
453-25,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,2,1
453-25,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,1,1
442-45,Protoperidinium spp.,Dinoflagellate,Protoperidinium,spp.,0,1
442-53,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,0,1
453-33,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,6,1
453-33,Corethron spp.,Centric diatom,Corethron,spp.,1,1
453-33,Proboscia spp.,Centric diatom,Proboscia,spp.,1,1
453-33,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,1,1
453-33,Thalassiosira spp. 20-40 µm,Centric diatom,Thalassiosira,spp.,2,1
453-33,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,1,1
453-5,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,0,1
453-5,Tripos muelleri,Dinoflagellate,Tripos (Tripoceratium),muelleri,0,1
443-45,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,1,1
443-45,Guinardia striata,Centric diatom,Guinardia,striata,1,1
443-45,Planktoniella sol,Centric diatom,Planktoniella,sol,1,1
443-45,Proboscia spp.,Centric diatom,Proboscia,spp.,3,1
443-45,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,2,1
443-45,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,3,1
443-45,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,3,1
443-45,Tripos fusus,Dinoflagellate,Tripos (Amphiceratium),fusus,3,1
443-45,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,2,1
443-49,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,1,1
443-49,Guinardia striata,Centric diatom,Guinardia,striata,1,1
443-49,Nitzschia spp.,Pennate diatom,Nitzschia,spp.,1,1
443-49,Proboscia spp.,Centric diatom,Proboscia,spp.,4,1
443-49,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,1,1
443-49,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,2,1
443-49,Tripos fusus,Dinoflagellate,Tripos (Amphiceratium),fusus,3,1
443-49,Tripos spp.,Dinoflagellate,Tripos,spp.,1,1
443-49,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,3,1
443-45,Unid dinoflagellate 10 - 30 µm,Dinoflagellate,(null),(null),1,1
443-53,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,2,1
443-53,Proboscia spp.,Centric diatom,Proboscia,spp.,5,1
443-53,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,1,1
443-53,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,1,1
443-53,Tripos fusus,Dinoflagellate,Tripos (Amphiceratium),fusus,2,1
443-53,Tripos setaceus,Dinoflagellate,Tripos (Ceratium),setaceus,1,1
443-57,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,2,1
443-57,Navicula cf. 20-40 µm length,Pennate diatom,(null),(null),1,1
443-57,Proboscia spp.,Centric diatom,Proboscia,spp.,3,1
443-57,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,2,1
443-57,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,3,1
443-57,Rhizosolenia bergonii,Centric diatom,Rhizosolenia,bergonii,1,1
443-53,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,2,1
443-9,Peridinium spp.,Dinoflagellate,Peridinium,spp.,0,1
443-9,Pyrophacus spp.,Dinoflagellate,Pyrophacus,spp.,0,1
443-25,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,0,1
443-25,Tripos lineatus,Dinoflagellate,Tripos (Ceratium),lineatus,0,1
443-25,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,0,1
443-29,Tripos muelleri,Dinoflagellate,Tripos (Tripoceratium),muelleri,0,1
443-57,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,4,1
443-57,Thalassiothrix cf. spp.,Pennate diatom,Thalassiothrix,cf. spp.,2,1
443-57,Tripos furca,Dinoflagellate,Tripos (Ceratium),furca,4,1
443-57,Tripos lineatus,Dinoflagellate,Tripos (Ceratium),lineatus,1,1
443-33,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,0,1
443-33,Tripos muelleri,Dinoflagellate,Tripos (Tripoceratium),muelleri,0,1
443-33,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,0,1
443-37,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,0,1
443-37,Tripos furca,Dinoflagellate,Tripos (Ceratium),furca,0,1
443-45,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,0,1
443-45,Tripos muelleri,Dinoflagellate,Tripos (Tripoceratium),muelleri,0,1
443-53,Tripos furca,Dinoflagellate,Tripos (Ceratium),furca,0,1
443-53,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,0,1
443-53,Tripos muelleri,Dinoflagellate,Tripos (Tripoceratium),muelleri,0,1
443-77,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,0,1
443-77,Tripos euarcuatus,Dinoflagellate,Tripos,euarcuatus,0,1
443-77,Tripos furca,Dinoflagellate,Tripos (Ceratium),furca,0,1
443-77,Tripos fusus,Dinoflagellate,Tripos (Amphiceratium),fusus,0,1
443-77,Tripos hexacanthus,Dinoflagellate,Tripos (Tripoceratium),hexacanthus,0,1
443-77,Tripos muelleri,Dinoflagellate,Tripos (Tripoceratium),muelleri,0,1
443-77,Protoperidinium oceanicum,Dinoflagellate,Protoperidinium,oceanicum,0,1
443-77,Tripos concilians,Dinoflagellate,Tripos (Tripoceratium),concilians,0,1
443-77,Tripos macroceros,Dinoflagellate,Tripos (Tripoceratium),macroceros,0,1
443-41,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,0,1
443-49,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,0,1
446-1,Tripos spp.,Dinoflagellate,Tripos,spp.,0,1
446-21,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,0,1
446-45,Tripos hundhausenii,Dinoflagellate,Tripos (Tripoceratium),hundhausenii,0,1
446-57,Pyrophacus spp.,Dinoflagellate,Pyrophacus,spp.,0,1
448-1,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,1,1
448-1,Nitzschia spp.,Pennate diatom,Nitzschia,spp.,1,1
448-1,Octactis octonaria,Silicoflagellate,Octactis,octonaria,1,1
448-1,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,1,1
448-1,Skeletonema spp.,Centric diatom,Skeletonema,spp.,1,1
448-33,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,4,1
448-37,Thalassionema nitzschioides,Pennate diatom,Thalassionema,nitzschioides,1,1
448-37,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,1,1
448-37,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,1,1
448-41,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,1,1
448-1,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,3,1
448-41,Guinardia striata,Centric diatom,Guinardia,striata,1,1
448-41,Navicula cf. 40-60 µm length,Pennate diatom,(null),(null),1,1
448-37,Tripos macroceros type,Dinoflagellate,Tripos (Tripoceratium),macroceros type,1,1
448-41,Proboscia spp.,Centric diatom,Proboscia,spp.,5,1
448-41,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,1,1
448-41,Thalassionema nitzschioides,Pennate diatom,Thalassionema,nitzschioides,2,1
448-41,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,9,1
